,,,,,,,,,,,,,325.630526105221,
2005,Chrysler,300,C,Sedan,ca,3.4,98955,gray,beige,m l sim,6225,7500,-1275,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2005,Chrysler,300,Touring,Sedan,ca,2,120961,blue,gray,tradewinds remarketing,4550,3600,950,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2005,Chrysler,300,C,Sedan,ca,2.4,112973,black,gray,redline remarketing,6075,6300,-225,Wed Jan 14 2015 04:05:00 GMT-0800 (PST)
2005,Chrysler,300,Base,Sedan,ca,1,1,blue,black,county financial services,6550,1000,5550,Wed Jan 07 2015 11:00:00 GMT-0800 (PST)
2005,Chrysler,300,Base,Sedan,ca,2.9,153096,silver,black,felix chevrolet & cadillac,3675,3275,400,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Chrysler,300,Base,Sedan,ca,4,38895,black,black,santander consumer,16950,18100,-1150,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Chrysler,300,C,Sedan,ca,4.1,55808,black,black,skyhigh remarketing inc,18750,18250,500,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2008,Chrysler,300,C HEMI,Sedan,ca,3.7,121950,silver,black,premium auto wholesale,8900,9700,-800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2008,Chrysler,300,C,Sedan,ca,1.9,132324,black,black,aaero sweet company,7900,7400,500,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2006,Chrysler,300,C,Sedan,ca,,152444,gray,—,apexcars net,4575,5500,-925,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2005,Chrysler,300,C,Sedan,ca,,125441,blue,—,huntington beach auto buyers,5225,4700,525,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chrysler,300,C,Sedan,va,4,16518,black,—,pv holding inc/gdp,23700,23200,500,Thu Dec 18 2014 08:45:00 GMT-0800 (PST)
2014,Chrysler,300,S,Sedan,va,3,24948,gray,black,"chrysler group,llc",22100,22800,-700,Thu Jan 15 2015 00:45:00 GMT-0800 (PST)
2014,Chrysler,300,C,Sedan,mi,5,17510,gray,black,chrysler group/hertz/pv holding/000gd,28900,29149,-249,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
2014,Chrysler,300,C,Sedan,mn,4,13780,silver,black,overland west inc,26700,25300,1400,Wed Jan 14 2015 05:00:00 GMT-0800 (PST)
2014,Chrysler,300,C,Sedan,va,4,18253,black,black,pv holding inc/gdp,23400,24500,-1100,Thu Dec 18 2014 08:45:00 GMT-0800 (PST)
2014,Chrysler,300,C,Sedan,mn,5,13169,silver,black,overland west inc,26800,27100,-300,Wed Jan 14 2015 05:00:00 GMT-0800 (PST)
2014,Chrysler,300,C,Sedan,mn,4,9172,white,black,overland west inc,27700,26400,1300,Wed Jan 14 2015 05:00:00 GMT-0800 (PST)
2011,Chrysler,300,Base,Sedan,mi,2.8,63317,gray,black,chrysler capital,14700,15000,-300,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2011,Chrysler,300,C,Sedan,tn,4.6,61445,—,black,sullivan auto group llc,18000,17800,200,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2011,Chrysler,300,Base,Sedan,ny,3.5,82390,gray,black,park ford of mahopac inc,11000,10500,500,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
2011,Chrysler,300,C,Sedan,oh,,41811,black,black,luxury sports auto sales,19650,13300,6350,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2011,Chrysler,300,Base,Sedan,wi,3.6,65103,black,black,arlington hgts chry dod jeep,14800,14100,700,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2011,Chrysler,300,Base,Sedan,mi,3.4,60810,white,black,remarketing by ge/michigan schools & govt cu,15300,13800,1500,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
2011,Chrysler,300,Base,Sedan,oh,3.6,70559,black,black,wells fargo dealer services,14400,13100,1300,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2012,FIAT,500,Sport,Hatchback,ca,2.8,37547,black,black,nvp remarketing,8575,8000,575,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,FIAT,500,C Pop,Convertible,ca,4.3,27596,green,black,san diego sports cars,8725,10000,-1275,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Porsche,911,Carrera S,Convertible,ca,4.6,16868,black,black,porsche financial services,80000,88500,-8500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Porsche,911,Carrera S (Midyear Redesign),Coupe,ca,4.4,16480,black,gray,mckenna audi/mckenna bmw,70000,72500,-2500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2006,porsche,911,4x2 6c carrera s,,ca,4.5,24698,black,black,audi north scottsdale,43100,37500,5600,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2004,porsche,911,awd carrera 4s,,ca,2.9,79478,black,brown,world motorsports,26300,24500,1800,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2009,porsche,911,4x2 6c carrera,,ca,3.7,43506,white,gray,future auto sales inc,45700,45300,400,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2008,Porsche,911,Turbo,Convertible,ca,4.5,35790,gray,brown,porsche of downtown la,63000,64500,-1500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2006,porsche,911,awd 6c carrera 4s,,ca,3.7,27425,black,black,high bid trading co inc,46300,44250,2050,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2004,porsche,911,4x2 carrera,,ca,1.9,90281,black,black,santander consumer,19600,19000,600,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
1999,porsche,911,cpe carrera 2,,ca,2.5,146102,black,black,mercedes benz of laguna niguel,8925,7500,1425,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2003,chevrolet,1500,sub 4x2 v8 ls,,ca,2.7,200749,white,gray,premium auto wholesale,1175,2250,-1075,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2000,chevrolet,1500,4x2 reg silverado,,ca,2.3,195156,white,gray,crown auto sales/leasing,1825,1400,425,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
1996,chevrolet,1500,4x2 ext silverado,,ca,3,142834,white,blue,purple heart car donation,1450,1550,-100,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
1999,chevrolet,1500,4x4 reg silver ls,,ca,,154780,white,gray,merle stone chevrolet inc,2525,1900,625,Thu Dec 18 2014 13:00:00 GMT-0800 (PST)
2012,Ram,1500,R/T,Regular Cab,ca,,21916,gray,—,walters auto sales/service inc,19850,22250,-2400,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ram,1500,ST,Regular Cab,ca,3.6,81338,white,black,myrddin fleet services,11750,10000,1750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Ram,1500,SLT,Quad Cab,ca,4.4,52039,white,black,wells fargo dealer services,15900,17300,-1400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Ram,1500,SLT,Quad Cab,ca,,46416,black,—,riverside car store inc,16300,16400,-100,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ram,1500,SLT,Quad Cab,ca,4.5,62646,silver,gray,symbolic motor cars,14850,15750,-900,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2011,Ram,1500,ST,Quad Cab,ca,4.1,64947,white,gray,wells fargo financial acceptance,13800,15200,-1400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Ram,1500,ST,Quad Cab,ca,4.4,101607,silver,black,motor city buick gmc,15350,17800,-2450,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2011,Ram,1500,ST,Quad Cab,ca,3.9,30647,red,gray,s/s auto wholesale,16250,14100,2150,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Ram,1500,SLT,Quad Cab,ca,4.1,97713,silver,—,american road leasing inc,12750,12250,500,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,3.8,19566,red,gray,enterprise veh exchange/rental,21500,21000,500,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,3.9,18616,white,black,enterprise vehicle exchange/orange,21500,21000,500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,3.8,19130,black,gray,enterprise veh exchange/rental,21500,20900,600,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,4,15550,gray,gray,enterprise vehicle exchange/orange,21800,23300,-1500,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,4,19523,red,gray,enterprise vehicle exchange/orange,21500,20700,800,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,3.7,16177,white,gray,enterprise vehicle exchange/orange,21600,21200,400,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,4.8,22819,red,black,enterprise veh exchange/rental,26400,25300,1100,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,4,15765,white,gray,enterprise vehicle exchange/orange,21900,21300,600,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,3.6,23305,gray,gray,enterprise vehicle exchange/orange,24000,25800,-1800,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,4,16810,white,gray,enterprise vehicle exchange/orange,21800,21200,600,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,4.4,18955,silver,gray,enterprise vehicle exchange/orange,21500,21100,400,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,2,2852,white,gray,enterprise vehicle exchange / tra / rental / tulsa,23600,14500,9100,Tue Jan 27 2015 05:00:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,ca,4.4,15853,red,gray,enterprise vehicle exchange/orange,21900,23000,-1100,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,Ram,1500,ST,Crew Cab,tx,3.7,27065,gold,gray,mid city mcandrew motors,24300,20100,4200,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2012,Ram,1500,ST,Quad Cab,ga,3.5,43406,black,gray,wells fargo dealer services,17500,17500,0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Ram,1500,SLT,Quad Cab,ny,,56429,red,—,hometown motors inc,21300,21500,-200,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
2012,Ram,1500,R/T,Regular Cab,ga,1.9,55804,blue,black,southwest business corporation,18850,14800,4050,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2012,Ram,1500,ST,Quad Cab,ne,2.7,74289,green,gray,enterprise vehicle exchange/davenport,16200,15200,1000,Thu Jan 08 2015 10:30:00 GMT-0800 (PST)
2012,Ram,1500,Laramie,Crew Cab,pa,3.9,71572,red,black,salerno duane infiniti llc,26800,24000,2800,Fri Jan 16 2015 01:30:00 GMT-0800 (PST)
2012,Ram,1500,Sport,Quad Cab,mi,3.9,25309,black,black,automobiles n.c.,25400,24100,1300,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
2012,Ram,1500,ST,Regular Cab,tx,5,27132,red,gray,woodhouse ford inc,15500,17000,-1500,Tue Dec 23 2014 14:00:00 GMT-0800 (PST)
2012,Ram,1500,Laramie,Crew Cab,ut,4.1,24080,black,black,primeritus remarketing / trugrocer fcu,32100,31000,1100,Wed Jan 14 2015 03:30:00 GMT-0800 (PST)
2012,Ram,1500,ST,Crew Cab,ga,2.7,25942,red,black,don jackson chrysler dodge jeep,24400,23000,1400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Ram,1500,SLT,Quad Cab,ga,3.4,63329,white,black,carworks inc,18100,18200,-100,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Ram,1500,SLT,Regular Cab,mn,3.4,49300,white,gray,wheels ltd,15600,16100,-500,Thu Jan 08 2015 10:45:00 GMT-0800 (PST)
2012,Ram,1500,Sport,Quad Cab,pa,,41215,black,—,twin willows ii inc,24900,23800,1100,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
2012,Ram,1500,ST,Quad Cab,fl,4.3,33257,red,black,gm financial,18250,20800,-2550,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2012,Ram,1500,SLT,Crew Cab,va,2.8,44782,blue,brown,safford chrysler jeep dodge of fredericksburg,22200,22100,100,Thu Dec 18 2014 09:05:00 GMT-0800 (PST)
2012,Ram,1500,ST,Crew Cab,il,4,10434,black,black,riverside auto sales inc,27300,26000,1300,Thu Jan 15 2015 10:00:00 GMT-0800 (PST)
2012,Ram,1500,Laramie Longhorn Edition,Crew Cab,pa,,99388,black,—,healey ford lincoln mercury llc,30400,23500,6900,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
2012,Ram,1500,ST,Quad Cab,ne,2.9,85441,white,gray,enterprise vehicle exchange/davenport,18950,16200,2750,Thu Jan 08 2015 02:30:00 GMT-0800 (PST)
2012,Ram,1500,ST,Crew Cab,tx,,63276,burgundy,gray,pro financial inc,14350,14600,-250,Wed Dec 17 2014 10:20:00 GMT-0800 (PST)
2012,Ram,1500,ST,Quad Cab,pa,3.7,44804,white,black,ford-lincoln dealer program,18700,20800,-2100,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2012,Ram,1500,ST,Regular Cab,nv,4.2,32444,black,gray,prestige chrysler jeep dodge,15200,18000,-2800,Fri Dec 19 2014 11:45:00 GMT-0800 (PST)
2012,Ram,1500,ST,Quad Cab,mi,4.1,35865,black,black,stratford hyundai,20900,20400,500,Thu Jan 08 2015 01:30:00 GMT-0800 (PST)
2012,Ram,1500,SLT,Crew Cab,co,3.6,29414,red,gray,justus motors company inc,24500,26500,-2000,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
2012,Ram,1500,Laramie Longhorn Edition,Crew Cab,tx,4.3,22301,black,black,mike brown chrysler dodge jeep,30000,30500,-500,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2012,Ram,1500,ST,Crew Cab,pa,4.3,40272,white,gray,victory auto,22000,23500,-1500,Fri Jan 02 2015 09:30:00 GMT-0800 (PST)
2012,Ram,1500,ST,Quad Cab,az,,112458,red,gray,rollit motors incorporated,12200,9900,2300,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2012,Ram,1500,SLT,Crew Cab,wi,3.7,17486,gray,gray,harry kaufmann motor cars inc,26700,26700,0,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
