,Age,Previously_Insured,Vehicle_Damage,Policy_Sales_Channel,Age30,Age3059,Age1,Age4,AgeResponse,myvariable2,myvariable5,myvariable6,myvariable7,myvariable8,Vehicle_Age_1-2 Year,Vehicle_Age_< 1 Year,Vehicle_Age_> 2 Years,Region_Code_high mid,Region_Code_low,Region_Code_low mid,Region_Code_mid,Region_Code_unknown,Region_Code_very low,pred,prob,real,result,TP,TN,FP,FN
170730,3.091042453358316,1,0,0.02736646630503836,0,False,True,False,0.03658094893154654,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0015394469989249801,0,True,0,1,0,0
75790,4.007333185232471,0,1,0.2049303496730699,1,True,False,False,0.14912280701754385,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7219682740151303,0,False,0,0,1,0
209153,4.04305126783455,0,1,0.2049303496730699,1,True,False,False,0.13980582524271845,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0.7493588051339246,0,False,0,0,1,0
172998,4.174387269895637,0,1,0.2049303496730699,1,False,False,False,0.138328530259366,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.648398489329823,0,False,0,0,1,0
161485,3.912023005428146,0,1,0.2049303496730699,1,True,False,True,0.19757575757575757,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.7299480673086296,1,True,1,0,0,0
192056,3.5263605246161616,1,0,0.2049303496730699,1,True,False,True,0.22063037249283668,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.018993765997825644,0,True,0,1,0,0
92033,3.258096538021482,1,0,0.02736646630503836,0,False,True,False,0.044853364002300174,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0018688184128021676,0,True,0,1,0,0
2994,3.044522437723423,0,1,0.2049303496730699,0,False,True,False,0.03551660516605166,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.47169414118438646,1,False,0,0,0,1
127285,3.4657359027997265,1,0,0.2049303496730699,1,True,False,True,0.1984848484848485,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.02931699685137721,0,True,0,1,0,0
169080,3.295836866004329,1,0,0.2049303496730699,0,False,True,False,0.0363232023721275,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.007779869040119721,0,True,0,1,0,0
236584,3.367295829986474,1,1,0.02736646630503836,0,False,False,False,0.11088295687885011,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.06500513585124955,0,True,0,1,0,0
266427,4.143134726391533,0,1,0.2049303496730699,1,False,False,False,0.09832134292565947,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.5815953205499781,0,False,0,0,1,0
308769,3.367295829986474,1,0,0.02736646630503836,0,False,False,False,0.11088295687885011,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.003132125656188835,0,True,0,1,0,0
332396,3.2188758248682006,1,0,0.02736646630503836,0,False,True,False,0.03684406401190919,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.002310603588179342,0,True,0,1,0,0
42339,3.1780538303479458,1,0,0.02736646630503836,0,False,True,False,0.036581709145427285,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.002590464246556996,0,True,0,1,0,0
216662,3.6109179126442243,0,1,0.2049303496730699,1,True,False,True,0.20699708454810495,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0.7587945237721996,1,True,1,0,0,0
296040,3.58351893845611,0,1,0.11884411884411884,1,True,False,True,0.21706586826347304,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7700162617363314,0,False,0,0,1,0
327051,3.5263605246161616,0,1,0.2049303496730699,1,True,False,True,0.22063037249283668,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7819305434139262,1,True,1,0,0,0
101182,3.7376696182833684,0,1,0.2049303496730699,1,True,False,True,0.19020172910662825,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7616943558196533,0,False,0,0,1,0
84179,3.258096538021482,1,0,0.02736646630503836,0,False,True,False,0.044853364002300174,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.002310603588179342,0,True,0,1,0,0
380087,4.07753744390572,1,0,0.2049303496730699,1,False,False,False,0.1565040650406504,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.007496749328144473,0,True,0,1,0,0
154777,3.1354942159291497,1,1,0.2049303496730699,0,False,True,False,0.03440725680325305,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.02351135802408472,0,True,0,1,0,0
164773,3.9318256327243257,1,0,0.11884411884411884,1,True,False,True,0.1989795918367347,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.005998384431778895,0,True,0,1,0,0
189557,3.367295829986474,0,1,0.02736646630503836,0,False,False,False,0.11088295687885011,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.5507504777046907,0,False,0,0,1,0
297578,3.1354942159291497,1,0,0.02736646630503836,0,False,True,False,0.03440725680325305,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.002967220717325217,0,True,0,1,0,0
233264,3.1780538303479458,1,0,0.02736646630503836,0,False,True,False,0.036581709145427285,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0020444551449717826,0,True,0,1,0,0
110800,3.2188758248682006,1,0,0.02736646630503836,0,False,True,False,0.03684406401190919,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.002033030669533628,0,True,0,1,0,0
53485,3.9512437185814275,0,1,0.2049303496730699,1,True,False,True,0.18057285180572852,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.7308817314225331,0,False,0,0,1,0
349949,3.828641396489095,1,0,0.2049303496730699,1,True,False,True,0.23592233009708738,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.01090168418875268,0,True,0,1,0,0
29888,3.912023005428146,0,1,0.2049303496730699,1,True,False,True,0.19757575757575757,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7461068620737366,1,True,1,0,0,0
13900,3.1780538303479458,1,1,0.02736646630503836,0,False,True,False,0.036581709145427285,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.02294206772908062,0,True,0,1,0,0
82888,3.1780538303479458,1,0,0.02736646630503836,0,False,True,False,0.036581709145427285,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.002590464246556996,0,True,0,1,0,0
332015,3.6635616461296463,0,1,0.2049303496730699,1,True,False,True,0.209919261822376,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0.7609332338389666,0,False,0,0,1,0
263818,3.5263605246161616,0,1,0.2049303496730699,1,True,False,True,0.22063037249283668,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7865433428895404,1,True,1,0,0,0
136419,4.276666119016055,0,1,0.2049303496730699,1,False,False,False,0.08914728682170543,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.5826873573794363,0,False,0,0,1,0
332034,3.044522437723423,1,0,0.02736646630503836,0,False,True,False,0.03551660516605166,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.0011690538175605605,0,True,0,1,0,0
94286,3.5553480614894135,0,1,0.2049303496730699,1,True,False,True,0.21850079744816586,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7897443119705574,1,True,1,0,0,0
336993,3.5263605246161616,0,1,0.11884411884411884,1,True,False,True,0.22063037249283668,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0.7804298078309607,0,False,0,0,1,0
58350,3.2188758248682006,0,1,0.02736646630503836,0,False,True,False,0.03684406401190919,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.4390002223866367,0,True,0,1,0,0
254788,3.6888794541139363,1,0,0.11884411884411884,1,True,False,True,0.2245762711864407,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.008279692356259466,0,True,0,1,0,0
210232,3.1354942159291497,0,1,0.2049303496730699,0,False,True,False,0.03440725680325305,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.5561059992239227,0,False,0,0,1,0
107518,4.007333185232471,0,1,0.2049303496730699,1,True,False,False,0.14912280701754385,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7219682740151303,0,False,0,0,1,0
289355,4.290459441148391,1,0,0.2049303496730699,1,False,False,False,0.08368200836820083,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.008224579683542456,0,True,0,1,0,0
349514,4.356708826689592,1,0,0.2049303496730699,1,False,False,False,0.07006369426751592,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.003360766186616549,0,True,0,1,0,0
97046,3.828641396489095,1,0,0.2049303496730699,1,True,False,True,0.23592233009708738,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.010702927456323029,0,True,0,1,0,0
181059,3.4657359027997265,0,1,0.2049303496730699,1,True,False,True,0.1984848484848485,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.7519417736435453,0,False,0,0,1,0
246089,3.367295829986474,0,1,0.2049303496730699,0,False,False,False,0.11088295687885011,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7447244191330582,0,False,0,0,1,0
320495,3.970291913552122,0,1,0.2049303496730699,1,True,False,False,0.166189111747851,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0.7525688727741106,1,True,1,0,0,0
134050,3.713572066704308,1,0,0.2049303496730699,1,True,False,True,0.22111553784860558,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.012492662080853416,0,True,0,1,0,0
370428,3.295836866004329,1,0,0.02736646630503836,0,False,True,False,0.0363232023721275,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.004241631541189457,0,True,0,1,0,0
353742,4.248495242049359,0,1,0.2049303496730699,1,False,False,False,0.09090909090909091,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.5848730146192392,0,False,0,0,1,0
287383,3.091042453358316,1,0,0.02736646630503836,0,False,True,False,0.03658094893154654,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0019201459173087952,0,True,0,1,0,0
381034,4.007333185232471,1,0,0.2049303496730699,1,True,False,False,0.14912280701754385,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.010069036133658872,0,True,0,1,0,0
125060,3.1354942159291497,1,0,0.02736646630503836,0,False,True,False,0.03440725680325305,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0025194768040730344,0,True,0,1,0,0
338955,3.332204510175204,0,1,0.02736646630503836,0,False,False,False,0.07372881355932204,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.5232301114749807,0,False,0,0,1,0
17601,3.713572066704308,0,1,0.2049303496730699,1,True,False,True,0.22111553784860558,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7848311870186196,0,False,0,0,1,0
7774,4.290459441148391,1,0,0.11884411884411884,1,False,False,False,0.08368200836820083,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.005597994935689589,0,True,0,1,0,0
88338,4.1588830833596715,0,1,0.2049303496730699,1,False,False,False,0.10650887573964497,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.6007308613677048,1,True,1,0,0,0
92301,3.6109179126442243,0,0,0.2049303496730699,1,True,False,True,0.20699708454810495,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.2215237918674035,0,True,0,1,0,0
18266,3.044522437723423,0,0,0.02736646630503836,0,False,True,False,0.03551660516605166,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.12494734856773325,0,True,0,1,0,0
260961,2.995732273553991,1,0,0.02736646630503836,0,False,True,False,0.029036004645760744,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.00146567038081066,0,True,0,1,0,0
180344,4.02535169073515,0,1,0.11884411884411884,1,True,False,False,0.17158671586715868,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.6931363387894549,0,False,0,0,1,0
139178,4.330733340286331,0,1,0.11884411884411884,1,False,False,False,0.0903954802259887,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.5287381386996021,0,False,0,0,1,0
221401,3.2188758248682006,1,0,0.02736646630503836,0,False,True,False,0.03684406401190919,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.002310603588179342,0,True,0,1,0,0
261504,4.189654742026425,0,0,0.11884411884411884,1,False,False,False,0.082010582010582,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.14867467976631107,0,True,0,1,0,0
224566,4.1588830833596715,1,0,0.2049303496730699,1,False,False,False,0.10650887573964497,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.0024321142601470445,0,True,0,1,0,0
323971,3.1354942159291497,1,0,0.02736646630503836,0,False,True,False,0.03440725680325305,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0032560384033388672,0,True,0,1,0,0
290121,4.23410650459726,1,0,0.11884411884411884,1,False,False,False,0.08469945355191257,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.005373484926100413,0,True,0,1,0,0
152026,3.1354942159291497,1,0,0.02736646630503836,0,False,True,False,0.03440725680325305,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0025194768040730344,0,True,0,1,0,0
160171,4.04305126783455,0,1,0.2049303496730699,1,True,False,False,0.13980582524271845,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7120733061406881,1,True,1,0,0,0
26910,4.02535169073515,0,1,0.2049303496730699,1,True,False,False,0.17158671586715868,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7320944063358613,0,False,0,0,1,0
294134,4.0943445622221,0,0,0.11884411884411884,1,False,False,False,0.13606911447084233,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.14223549800320176,0,True,0,1,0,0
10298,3.7376696182833684,1,0,0.2049303496730699,1,True,False,True,0.19020172910662825,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.015702125897356,0,True,0,1,0,0
316089,3.1780538303479458,0,1,0.02736646630503836,0,False,True,False,0.036581709145427285,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.436969690782248,0,True,0,1,0,0
334961,3.1354942159291497,1,0,0.02736646630503836,0,False,True,False,0.03440725680325305,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0032560384033388672,0,True,0,1,0,0
177414,4.2626798770413155,0,1,0.2049303496730699,1,False,False,False,0.06048387096774194,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.567370662968526,0,False,0,0,1,0
202168,4.189654742026425,0,1,0.2049303496730699,1,False,False,False,0.082010582010582,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.56611165733218,0,False,0,0,1,0
303475,3.1780538303479458,1,0,0.02736646630503836,0,False,True,False,0.036581709145427285,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.002590464246556996,0,True,0,1,0,0
90119,3.6888794541139363,0,1,0.2049303496730699,1,True,False,True,0.2245762711864407,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7803889474310581,1,True,1,0,0,0
192625,3.9318256327243257,0,1,0.2049303496730699,1,True,False,True,0.1989795918367347,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7450004210595403,1,True,1,0,0,0
52668,3.9512437185814275,0,1,0.2049303496730699,1,True,False,True,0.18057285180572852,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7470405261876403,0,False,0,0,1,0
173599,3.1354942159291497,0,1,0.02736646630503836,0,False,True,False,0.03440725680325305,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.47836570909467063,0,True,0,1,0,0
18585,3.5553480614894135,0,1,0.2049303496730699,1,True,False,True,0.21850079744816586,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.7682489970472041,1,True,1,0,0,0
91785,3.9318256327243257,1,1,0.11884411884411884,1,True,False,True,0.1989795918367347,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.05175728184215393,0,True,0,1,0,0
156526,3.784189633918261,1,0,0.2049303496730699,1,True,False,True,0.22980251346499103,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.012656609074712572,0,True,0,1,0,0
11273,3.6375861597263857,0,1,0.2049303496730699,1,True,False,True,0.2369109947643979,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7896902710447972,0,False,0,0,1,0
30911,3.091042453358316,1,0,0.02736646630503836,0,False,True,False,0.03658094893154654,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0012741266194885275,0,True,0,1,0,0
346829,3.1354942159291497,1,0,0.02736646630503836,0,False,True,False,0.03440725680325305,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0032560384033388672,0,True,0,1,0,0
338043,3.295836866004329,1,0,0.02736646630503836,0,False,True,False,0.0363232023721275,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.004241631541189457,0,True,0,1,0,0
94313,3.044522437723423,1,0,0.02736646630503836,0,False,True,False,0.03551660516605166,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0014936054835198703,0,True,0,1,0,0
371300,4.02535169073515,0,1,0.2049303496730699,1,True,False,False,0.17158671586715868,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7262962320473635,0,False,0,0,1,0
284321,3.2188758248682006,0,0,0.02736646630503836,0,False,True,False,0.03684406401190919,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.22791653122329344,0,True,0,1,0,0
51644,4.204692619390966,1,0,0.11884411884411884,1,False,False,False,0.09064327485380116,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.004695113524797136,0,True,0,1,0,0
271547,3.9889840465642745,0,1,0.2049303496730699,1,True,False,True,0.17804154302670624,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.7277176735068963,0,False,0,0,1,0
328286,3.912023005428146,0,1,0.2049303496730699,1,True,False,True,0.19757575757575757,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.7261682579761469,0,False,0,0,1,0
346435,3.6375861597263857,0,1,0.2049303496730699,1,True,False,True,0.2369109947643979,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7896902710447972,0,False,0,0,1,0
43130,3.9889840465642745,0,1,0.2049303496730699,1,True,False,True,0.17804154302670624,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.7314974828393788,0,False,0,0,1,0
42553,3.044522437723423,0,1,0.02736646630503836,0,False,True,False,0.03551660516605166,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.4057876593443146,0,True,0,1,0,0
327427,3.091042453358316,1,0,0.02736646630503836,0,False,True,False,0.03658094893154654,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0015394469989249801,0,True,0,1,0,0
78381,3.713572066704308,0,1,0.02736646630503836,1,True,False,True,0.22111553784860558,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.6901939006345376,0,False,0,0,1,0
152127,4.07753744390572,0,1,0.11884411884411884,1,False,False,False,0.1565040650406504,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0.6778646977278565,0,False,0,0,1,0
216308,3.1780538303479458,0,1,0.02736646630503836,0,False,True,False,0.036581709145427285,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.436969690782248,0,True,0,1,0,0
168898,3.6888794541139363,0,1,0.11884411884411884,1,True,False,True,0.2245762711864407,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7802316086477984,0,False,0,0,1,0
260537,3.9889840465642745,0,1,0.2049303496730699,1,True,False,True,0.17804154302670624,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.7277176735068963,0,False,0,0,1,0
321259,3.4965075614664802,0,1,0.2049303496730699,1,True,False,True,0.20087976539589442,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.7504074449309092,0,False,0,0,1,0
124293,3.5263605246161616,1,0,0.02736646630503836,1,True,False,True,0.22063037249283668,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.009740363221842937,0,True,0,1,0,0
67940,3.9512437185814275,0,1,0.2049303496730699,1,True,False,True,0.18057285180572852,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0.7715663038971436,0,False,0,0,1,0
3134,3.5263605246161616,0,1,0.2049303496730699,1,True,False,True,0.22063037249283668,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7819305434139262,1,True,1,0,0,0
321,4.343805421853684,1,0,0.2049303496730699,1,False,False,False,0.05555555555555555,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.003360766186616549,0,True,0,1,0,0
200585,3.713572066704308,0,1,0.2049303496730699,1,True,False,True,0.22111553784860558,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.7592854189755911,1,True,1,0,0,0
156642,4.143134726391533,0,1,0.11884411884411884,1,False,False,False,0.09832134292565947,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.5313917652183647,1,True,1,0,0,0
240531,3.7376696182833684,0,0,0.2049303496730699,1,True,False,True,0.19020172910662825,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.21736231812165635,0,True,0,1,0,0
