,CustomerID,Recency,Frequency,Monatery
123,13717,4073,17,301.53999999999996
124,13722,4299,46,1463.47
125,13725,4325,41,947.65
126,13742,4201,16,180.04
127,13748,4113,2,31.6
128,13750,4070,5,330.63
129,13756,4110,14,413.99
130,13758,4270,15,316.90000000000003
131,13767,4126,13,385.88
132,13769,4054,18,301.97
133,13772,4256,36,228.42
134,13774,4098,22,345.0
135,13784,4185,6,603.96
136,13798,4024,12,1582.04
137,13804,4113,11,188.29999999999998
138,13810,4073,21,1253.0
139,13813,4088,17,281.94
140,13831,4155,6,357.4
141,13835,4069,15,205.57
142,13848,4109,1,320.0
143,13880,4105,17,414.82
144,13890,4018,12,207.70000000000002
145,13892,4043,1,61.199999999999996
146,13895,4045,35,681.96
147,13924,4034,60,1030.67
148,13933,4126,9,307.8
149,13939,4040,11,178.34
150,13940,4133,12,172.44
151,13950,4028,12,280.46
152,13973,4304,11,264.7
153,13985,4232,13,247.79999999999998
154,13986,4034,13,320.46
155,13994,4122,4,130.99
156,14014,4094,39,505.18
157,14021,4172,4,130.2
158,14030,4383,26,670.55
159,14031,4341,6,456.27000000000004
160,14040,4333,5,203.25
161,14041,4283,21,141.41
162,14049,4217,143,2026.6299999999999
163,14051,4077,12,757.8
164,14060,4073,27,589.02
165,14083,4388,66,309.54
166,14088,4027,29,2075.81
167,14096,4033,512,7370.45
168,14107,4237,13,299.81
169,14112,4057,49,885.83
170,14121,4020,39,771.16
171,14132,4130,18,338.12
172,14146,4098,52,973.25
173,14156,4143,223,3597.3
174,14158,4057,41,507.66
175,14194,4154,91,1764.8600000000001
176,14198,4162,9,173.65
177,14209,4231,18,314.6
178,14214,4187,17,183.56
179,14217,4091,7,93.87
180,14218,4060,12,169.48000000000002
181,14221,4097,56,829.66
182,14227,4213,1,17.4
183,14234,4074,131,369.78
184,14273,4153,11,231.35
185,14286,4063,47,642.77
186,14292,4024,1,24.96
187,14293,4386,15,364.92
188,14299,4038,18,525.55
189,14305,4088,42,810.51
190,14312,4327,8,126.82
191,14344,4144,45,263.48
192,14348,4277,18,409.57
193,14367,4201,44,772.64
194,14387,4091,42,488.98
195,14388,4220,48,860.39
196,14389,4207,19,311.14
197,14395,4287,33,360.24
198,14422,4034,20,330.55
199,14426,4293,53,794.41
200,14447,4067,17,271.44
201,14462,4203,10,184.52
202,14477,4201,2,358.0
203,14481,4304,12,302.86
204,14484,4067,14,321.92
205,14487,4057,33,196.67999999999998
206,14493,4024,27,515.7
207,14502,4251,1,89.55
208,14514,4078,34,652.24
209,14527,4025,63,551.26
210,14533,4106,16,408.38
211,14541,4076,3,146.0
212,14544,4378,57,1121.92
213,14548,4167,2,326.4
214,14555,4319,16,197.94
215,14562,4055,21,195.48000000000002
216,14581,4033,17,138.6
217,14593,4215,23,219.76999999999998
218,14601,4028,7,213.96
219,14606,4074,102,514.76
220,14626,4250,29,586.9
221,14646,4033,90,14404.14
222,14655,4025,10,362.91
223,14665,4314,1,81.6
224,14667,4263,31,388.77
225,14676,4224,3,368.76
226,14688,4159,28,456.86
227,14701,4189,11,97.95
228,14702,4095,17,216.09
229,14710,4036,58,232.09
230,14712,4092,13,305.75
231,14733,4384,28,1830.02
232,14738,4081,11,326.81
233,14755,4026,30,737.8000000000001
234,14775,4389,20,406.56
235,14785,4032,2,39.480000000000004
236,14796,4256,64,425.93
237,14800,4156,62,911.91
238,14803,4292,5,188.64
239,14824,4108,15,441.91
240,14834,4257,11,243.69
241,14837,4106,18,303.94
242,14851,4273,14,206.13
243,14878,4218,20,219.96
244,14907,4385,28,618.07
245,14911,4070,112,2502.96
246,14920,4230,24,405.53000000000003
247,14952,4224,1,77.5
248,14953,4042,55,289.82
249,14965,4113,81,474.5
250,14970,4333,5,337.5
251,14972,4145,18,114.77
252,14985,4375,50,124.51
253,15005,4043,76,562.91
254,15016,4189,20,170.04
255,15023,4342,105,1037.9
256,15024,4130,15,87.93
257,15032,4383,1,23.85
258,15033,4042,68,281.43
259,15039,4131,34,765.23
260,15061,4090,16,1592.58
261,15078,4073,14,334.96000000000004
262,15089,4145,69,1221.56
263,15098,4199,1,649.5
264,15101,4026,4,215.25
265,15114,4088,37,511.64
266,15121,4067,10,162.57
267,15125,4288,38,3840.88
268,15149,4150,23,520.8000000000001
269,15150,4090,1,29.700000000000003
270,15152,4066,18,310.21999999999997
271,15187,4035,4,174.6
272,15189,4116,8,319.95
273,15192,4382,15,315.0
274,15194,4049,57,1823.69
275,15206,4293,1,17.700000000000003
276,15215,4063,3,53.9
277,15218,4071,4,303.3
278,15223,4242,8,454.90000000000003
279,15230,4256,1,59.400000000000006
280,15245,4278,49,1251.48
281,15249,4136,19,384.6
282,15253,4186,12,173.85
283,15263,4124,12,156.51
284,15266,4355,6,119.3
285,15271,4053,17,265.7
286,15290,4376,8,219.6
287,15298,4342,7,169.74
288,15304,4236,5,156.45
289,15311,4059,43,802.29
290,15320,4061,36,267.13
291,15356,4192,64,405.76
292,15358,4225,6,104.15999999999998
293,15370,4314,28,570.02
294,15381,4285,7,282.29999999999995
295,15397,4307,6,94.0
296,15410,4116,22,538.91
297,15434,4124,2,32.82
298,15453,4148,32,139.98
299,15465,4296,5,292.75
300,15493,4049,61,419.9
301,15497,4034,5,291.6
302,15498,4138,3,337.5
303,15508,4206,1,15.0
304,15513,4390,3,357.0
305,15514,4381,1,39.949999999999996
306,15521,4112,49,621.09
307,15527,4106,20,277.55
308,15529,4104,146,817.04
309,15545,4071,50,157.39000000000001
310,15547,4211,90,696.14
311,15563,4375,22,270.19
312,15577,4168,16,156.85
313,15578,4179,13,127.1
314,15587,4159,2,111.96
315,15596,4382,21,402.32
316,15597,4052,22,324.57
317,15610,4069,6,112.46000000000001
318,15622,4104,27,656.01
319,15632,4270,9,300.6
320,15640,4141,110,2453.27
321,15656,4195,16,256.77
322,15660,4102,19,372.16
323,15671,4288,21,356.19
324,15694,4220,13,1168.5
325,15696,4343,31,493.45
326,15716,4218,35,240.08
327,15724,4302,5,103.65
328,15727,4265,46,784.45
329,15732,4389,5,138.1
330,15738,4201,11,316.02000000000004
331,15745,4253,18,302.85
332,15753,4321,1,79.2
333,15766,4081,11,315.06
334,15769,4215,9,3134.4
335,15801,4063,5,56.75
336,15804,4017,21,329.05
337,15838,4028,6,1224.78
338,15845,4104,18,543.24
339,15856,4168,35,351.7
340,15867,4130,54,326.01
341,15870,4049,76,354.09000000000003
342,15881,4329,1,1.9
343,15894,4270,3,106.81
344,15897,4211,18,102.34
345,15907,4193,65,278.34
346,15925,4211,12,207.15
347,15971,4158,1,430.0
348,15977,4034,65,1054.73
349,15983,4383,24,382.66
350,15996,4133,14,111.56
351,16013,4237,6,2761.8
352,16016,4383,69,382.27
353,16027,4109,1,158.4
354,16033,4343,42,262.96
355,16063,4277,23,335.32
356,16076,4109,1,51.839999999999996
357,16098,4251,7,157.9
358,16121,4232,74,287.89
359,16122,4383,10,105.72
360,16133,4070,6,301.08000000000004
361,16135,4279,21,517.55
362,16147,4151,22,375.0
363,16149,4021,7,116.84
364,16156,4067,10,284.98
365,16172,4192,22,351.97
366,16180,4188,13,1581.85
367,16187,4301,22,480.90000000000003
368,16191,4329,2,14.750000000000002
369,16215,4098,14,242.35
370,16226,4220,1,15.0
371,16233,4383,2,147.39999999999998
372,16241,4049,6,102.3
373,16255,4033,38,437.12
374,16257,4194,2,46.95
375,16266,4090,11,100.77
376,16272,4133,25,411.7
377,16332,4089,41,469.02
378,16333,4209,1,177.60000000000002
379,16360,4105,33,211.01
380,16364,4028,24,359.49
381,16365,4376,1,228.6
382,16370,4134,117,677.57
383,16395,4347,41,301.14
384,16398,4271,63,1169.95
385,16407,4127,37,453.11
386,16419,4185,2,63.25
387,16422,4342,7,707.88
388,16430,4074,6,300.85
389,16441,4308,13,211.0
390,16450,4166,11,311.92
391,16455,4388,6,135.0
392,16458,4032,24,413.36
393,16474,4034,78,351.9
394,16480,4092,53,769.29
395,16500,4053,2,55.32000000000001
396,16511,4162,41,241.95000000000002
397,16523,4075,2,82.5
398,16525,4202,8,765.8199999999999
399,16566,4032,9,150.78
400,16584,4271,14,611.94
401,16595,4078,85,360.16
402,16607,4075,33,674.74
403,16638,4123,8,75.36
404,16652,4126,3,82.98
405,16678,4267,17,282.6
406,16681,4270,12,301.6
407,16682,4021,6,110.86
408,16684,4150,1,432.0
409,16696,4220,1,118.80000000000001
410,16709,4216,12,580.36
411,16710,4224,70,423.3
412,16713,4083,18,702.04
413,16728,4063,126,504.67
414,16737,4070,1,417.59999999999997
415,16748,4035,19,266.7
416,16755,4131,87,588.36
417,16757,4335,7,106.83000000000001
418,16770,4389,6,130.8
419,16779,4236,33,765.14
420,16801,4209,9,213.05
421,16809,4279,46,214.28
422,16814,4242,25,390.85
423,16817,4049,11,207.99
424,16826,4068,22,341.7
425,16839,4157,31,1629.34
426,16842,4172,16,346.38
427,16872,4094,3,215.34000000000003
428,16882,4256,14,205.8
429,16883,4389,17,128.03
430,16891,4158,37,205.66
431,16907,4165,20,127.88
432,16913,4307,8,113.44
433,16919,4216,29,146.5
434,16928,4111,20,334.29999999999995
435,16931,4260,27,147.06
436,16945,4182,18,329.43
437,16949,4020,7,82.04
438,16960,4269,45,201.53
439,16965,4243,26,201.19
440,16968,4124,15,253.31
441,16979,4165,8,208.5
442,16985,4034,50,1864.12
443,17001,4108,11,322.4
444,17002,4307,17,513.06
445,17035,4262,10,174.02
446,17041,4377,17,304.5
447,17049,4134,21,330.28
448,17061,4186,26,909.15
449,17069,4095,1,17.34
450,17071,4045,37,740.71
451,17086,4047,5,307.96
452,17091,4202,33,585.84
453,17100,4035,63,939.89
454,17107,4225,104,2423.6
455,17115,4025,7,224.68
456,17133,4032,6,643.6000000000001
457,17146,4280,17,265.63
458,17160,4126,48,758.0500000000001
459,17176,4218,15,306.13
460,17179,4378,20,243.0
461,17180,4073,31,231.17
462,17181,4390,2,155.52
463,17188,4028,30,617.11
464,17191,4385,11,56.85
465,17193,4194,4,149.52
466,17201,4070,40,342.63
467,17203,4077,20,1263.97
468,17212,4270,4,226.85
469,17236,4029,32,218.4
470,17243,4067,30,601.11
471,17265,4156,50,178.81
472,17278,4258,15,246.04
473,17293,4173,15,235.82
474,17302,4140,19,358.49
475,17306,4272,3,396.59999999999997
476,17315,4125,68,379.98
477,17323,4232,38,155.68
478,17334,4326,10,296.52
479,17348,4053,33,111.57
480,17360,4201,60,330.95
481,17391,4181,1,101.76
482,17404,4073,1,15.0
483,17409,4202,8,511.3
484,17414,4201,5,598.0
485,17449,4062,13,206.62
486,17460,4389,2,70.30000000000001
487,17472,4208,60,259.27
488,17480,4094,29,511.82
489,17511,4062,37,3934.56
490,17512,4138,15,350.58
491,17519,4224,12,306.85
492,17521,4046,22,385.02
493,17526,4377,1,11.8
494,17528,4047,15,373.27
495,17550,4260,28,156.22
496,17560,4172,6,219.78
497,17564,4041,21,210.55
498,17567,4074,34,988.03
499,17569,4349,29,344.14
500,17572,4255,4,81.4
501,17576,4090,53,489.88
502,17579,4021,33,178.04
503,17581,4050,62,1468.07
504,17588,4250,10,397.20000000000005
505,17590,4057,57,349.38
506,17602,4040,83,769.36
507,17611,4048,17,242.45
508,17631,4249,21,302.55
509,17644,4220,5,79.3
510,17647,4082,7,133.06
511,17651,4029,54,1010.2
512,17655,4302,12,306.70000000000005
513,17658,4228,9,317.59999999999997
514,17668,4018,7,185.89999999999998
515,17673,4283,61,377.64
516,17675,4272,21,465.7
517,17677,4019,3,64.04
518,17682,4027,29,574.98
519,17690,4390,6,97.19999999999999
520,17692,4376,25,343.26
521,17695,4149,17,411.74
522,17697,4253,19,338.95
523,17719,4092,15,309.31
524,17720,4242,17,532.38
525,17730,4203,30,586.01
526,17749,4273,22,369.01
527,17757,4389,23,143.45000000000002
528,17772,4027,5,26.3
529,17779,4038,16,169.06
530,17793,4042,58,323.04
531,17809,4319,2,610.2
532,17811,4021,66,453.58
533,17819,4257,3,189.83999999999997
534,17835,4026,23,126.66
535,17838,4382,12,218.4
536,17841,4018,573,3339.66
537,17856,4298,5,482.81
538,17857,4021,4,2849.6
539,17861,4173,1,5.2
540,17867,4220,4,578.5500000000001
541,17869,4124,11,94.72
542,17870,4141,10,106.91
543,17883,4263,19,119.35
544,17920,4029,46,332.61
545,17928,4263,17,78.25999999999999
546,17930,4053,10,426.84000000000003
547,17955,4236,11,261.95
548,17961,4048,12,54.25
549,17988,4134,2,11.639999999999999
550,18010,4273,14,174.8
551,18017,4098,1,179.0
552,18041,4095,24,327.95
553,18056,4305,19,363.65
554,18073,4145,15,832.5
555,18075,4040,20,353.98
556,18094,4153,13,416.90000000000003
557,18096,4074,112,474.05
558,18097,4371,7,182.52
559,18102,4102,16,13266.52
560,18118,4036,130,589.98
561,18149,4232,5,321.9
562,18155,4092,6,105.06
563,18159,4318,23,530.15
564,18170,4050,8,324.8
565,18172,4165,3,979.1999999999999
566,18188,4032,13,392.76
567,18217,4046,12,303.85
568,18221,4081,11,171.8
569,18229,4075,13,650.74
570,18231,4252,26,458.25
571,18236,4097,7,132.55
572,18241,4140,10,169.4
573,18248,4140,19,307.56
574,18283,4195,24,103.72
575,nan,4033,6055,67134.20999999999
