rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,churn,months,uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
75,343,75,0,0,0,0,0,0,-60,0,4,0,10,0,24,0,118,0,67,0,81,0,0,0,0,27,0,133,0,135,9,3,1,1,111,0,211,0,36,0,58,0,14,118,81,0,0,0,54,1,1,N,BA,N,4156,7679,4294,3950,7424,4040,76,143,78,363,188,75,269,156,75,C,CENTRAL/SOUTH TEXAS AREA,N,N,30,4,2,WCMB,1,0,O,11,S,A,5,M,6,2,C,A,0,H,U,U,U,U,Y,Y,581,1000127
281,3808,183,8,759,88,88,0,0,5,-76,27,0,19,0,94,0,989,2,542,0,860,2,1,12,12,202,0,1462,4,1208,169,233,42,72,1101,1,2157,1,289,1,514,3,47,991,862,0,45,0,50,1,1,Y,A,N,52296,114238,7437,7296,113512,51952,155,2415,1105,3806,1815,307,3083,1423,212,R,CENTRAL/SOUTH TEXAS AREA,N,N,300,6,5,WCMB,1,0,O,5,S,S,4,M,6,1,I,A,0,N,U,U,U,U,Y,Y,77,1000128
98,1670,83,4,0,0,0,0,1,240,-8,1,0,18,0,96,0,383,0,213,0,268,0,1,5,5,116,0,589,0,477,53,28,58,125,355,0,796,0,126,0,270,0,20,383,268,0,9,0,52,2,1,N,B,N,28061,72377,4998,4867,71311,27632,97,1426,553,1589,689,101,1625,685,99,C,CENTRAL/SOUTH TEXAS AREA,Y,N,150,9,7,WCMB,0,0,O,12,S,M,3,M,9,2,C,A,0,H,U,U,U,U,U,Y,116,1000129
38,483,50,0,8,1,1,0,0,-51,-1,0,0,3,0,16,0,141,0,37,0,122,0,0,0,0,14,0,310,0,85,32,40,10,19,129,0,326,0,30,0,68,0,3,141,122,0,3,1,52,2,1,Y,A,N,7621,19175,2192,2138,19160,7615,51,456,181,500,184,39,575,210,44,T,CENTRAL/SOUTH TEXAS AREA,Y,N,60,2,2,WCMB,1,1,O,7,S,M,2,M,7,1,C,A,0,H,Y,Y,U,Y,U,Y,504,1000132
56,516,50,0,30,7,7,0,0,-45,-6,3,0,3,0,28,0,132,0,40,0,99,0,0,0,0,24,0,214,0,80,20,17,2,1,94,0,192,0,44,0,102,0,5,132,99,0,1,0,54,1,1,N,A,N,9553,20980,2685,2685,20405,9318,52,392,179,531,236,57,489,223,55,S,MIDWEST AREA,Y,N,200,4,3,WCMB,0,0,O,14,S,U,2,M,6,2,C,A,0,N,U,U,U,Y,U,Y,45,1000133
83,256,83,0,0,0,0,0,0,-256,0,3,0,3,0,36,0,162,0,60,0,122,0,0,0,0,40,0,141,0,61,4,2,7,10,147,0,169,0,33,0,33,0,6,162,122,0,4,1,52,3,2,N,A,N,7299,14648,4307,4162,14116,7077,83,282,142,342,208,84,299,169,84,C,CENTRAL/SOUTH TEXAS AREA,N,N,80,4,2,WC,1,1,O,15,S,M,5,M,7,1,C,A,0,G,U,U,U,U,U,Y,709,1000134
18,14,15,0,12,3,3,0,0,-7,-2,0,0,0,0,2,0,7,0,2,0,5,0,0,0,0,1,0,4,0,6,0,0,1,3,2,0,6,0,5,0,4,0,0,7,5,0,0,0,56,1,1,N,AA,N,572,1057,1108,1084,1032,555,20,19,10,17,9,19,20,12,20,C,DALLAS AREA,Y,N,100,2,2,WCMB,1,0,O,10,S,M,2,M,7,1,C,A,0,U,U,U,U,U,U,Y,234,1000136
59,250,30,4,72,22,22,0,0,49,11,1,0,2,0,22,0,119,0,18,0,94,0,0,0,0,9,0,94,0,22,8,4,10,11,81,0,81,0,32,0,34,0,3,119,94,0,0,0,49,1,1,N,A,N,4529,8377,2504,2467,8352,4510,52,178,96,234,138,55,203,113,47,S,MIDWEST AREA,Y,N,200,4,4,WCMB,0,0,O,1,M,M,2,M,8,2,C,B,0,N,U,U,U,U,U,Y,296,1000137
31,181,30,0,0,0,0,0,0,-146,-1,2,0,4,0,19,0,126,0,24,0,100,0,6,15,12,15,1,112,0,23,41,27,7,7,84,0,74,0,37,0,60,0,6,126,100,0,1,1,49,1,1,Y,G,N,4152,6526,1597,1546,6425,4090,32,134,85,230,136,31,136,82,31,S,DALLAS AREA,Y,N,60,3,3,WCMB,0,0,O,2,S,A,3,M,4,2,I,A,0,I,U,U,U,U,U,Y,574,1000138
78,641,75,1,0,0,0,0,0,191,0,9,0,5,0,46,0,206,0,65,0,148,0,0,0,0,24,0,237,0,125,40,43,10,12,165,0,286,0,44,0,76,0,14,206,148,0,1,1,51,2,2,N,B,N,18446,39884,4271,4138,38956,18167,83,779,363,578,276,78,730,328,68,T,DALLAS AREA,Y,N,30,4,3,WC,1,1,O,10,S,M,3,M,4,2,C,A,1,H,U,U,Y,U,U,Y,285,1000146
27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,1,1,N,A,N,2820,4322,1733,1698,4291,2793,35,89,58,0,0,27,11,8,27,T,MIDWEST AREA,Y,N,30,5,5,WC,1,0,O,1,S,M,3,M,8,1,C,A,0,G,Y,Y,U,U,U,Y,383,1000155
56,557,50,0,60,6,6,0,0,49,-1,10,0,2,0,21,0,122,0,52,0,93,0,0,0,0,23,0,203,0,129,36,68,23,44,110,0,264,0,31,0,68,0,12,122,93,0,1,0,51,2,2,Y,A,N,10231,28202,3067,2749,27690,10109,58,589,215,541,196,56,653,237,63,T,CENTRAL/SOUTH TEXAS AREA,N,N,80,3,3,WC,1,1,O,11,S,M,4,M,9,1,C,A,1,S,U,U,U,U,U,Y,740,1000158
84,790,75,5,0,0,0,0,0,-60,1,33,0,8,0,31,0,299,0,188,0,239,0,1,61,61,108,0,329,0,197,58,34,4,4,397,0,510,0,19,0,16,0,41,299,239,0,9,1,51,1,1,N,A,N,38175,60027,4154,4043,59754,37996,81,1195,760,811,539,83,973,608,82,S,DALLAS AREA,N,R,30,6,4,WC,0,0,O,14,S,M,4,M,7,2,C,A,0,G,U,U,Y,Y,Y,Y,638,1000159
32,112,32,0,0,0,0,0,0,-2,0,2,0,0,0,13,0,48,0,19,3,34,0,0,0,0,11,0,45,0,17,6,4,0,0,40,0,54,0,7,0,8,0,2,48,34,0,0,0,49,1,1,N,A,N,2793,4907,1400,1355,4837,2746,30,105,60,113,59,33,113,58,33,C,SOUTHWEST AREA,Y,N,150,2,2,WCMB,1,1,O,7,S,M,2,M,4,1,C,A,0,H,U,U,U,Y,U,N,517,1000164
76,1061,75,0,0,0,0,0,0,100,-1,36,0,19,0,47,0,298,0,29,0,196,0,0,0,0,13,0,568,0,64,18,12,6,8,179,0,493,0,45,0,140,0,56,298,196,0,4,1,51,1,1,N,AA,N,20057,62951,4041,3924,62414,19971,78,1248,399,1027,298,76,1121,347,77,T,DALLAS AREA,Y,N,150,6,5,WCMB,1,1,O,2,S,A,2,M,9,2,I,A,0,G,Y,Y,U,U,U,Y,206,1000165
30,268,40,0,0,0,0,0,0,62,0,1,0,0,0,6,0,70,0,16,0,62,0,8,15,9,6,0,133,0,76,7,13,1,1,52,0,134,0,27,0,74,0,2,70,62,0,0,1,53,1,1,N,BA,N,4638,14626,2731,2622,14572,4610,50,280,89,248,78,30,285,86,30,S,DALLAS AREA,Y,N,80,6,4,WCMB,1,0,O,15,S,S,4,M,3,1,C,A,0,N,U,U,U,U,U,Y,485,1000166
42,147,44,0,8,3,3,0,0,-82,1,0,0,0,0,4,0,34,0,11,0,29,0,0,1,0,2,0,76,0,50,5,3,0,0,16,0,36,0,24,0,89,0,1,35,29,0,0,0,51,1,1,Y,A,N,581,1742,1155,1119,1727,575,29,44,15,174,50,41,131,37,40,C,DALLAS AREA,Y,N,150,3,3,WCMB,0,0,O,14,S,A,2,M,6,2,I,A,0,N,U,U,U,U,U,Y,185,1000167
90,1489,75,4,58,6,6,0,2,317,19,17,0,7,0,49,0,336,0,61,0,267,0,0,0,0,19,0,706,0,195,59,68,10,32,188,0,555,0,136,0,346,0,24,336,267,0,19,1,51,1,1,U,A,N,20235,71967,4553,4434,71720,20173,89,1434,404,1383,425,84,1491,435,97,C,MIDWEST AREA,Y,N,60,4,3,WCMB,0,0,O,6,S,B,1,M,6,1,C,A,0,U,U,U,U,U,U,Y,734,1000168
44,245,30,0,30,14,14,0,0,53,7,3,0,0,0,19,0,79,0,51,0,58,0,0,0,0,29,0,88,0,72,27,32,10,9,55,0,98,0,44,0,62,0,3,79,58,0,0,0,51,1,1,N,A,N,3834,5880,1591,1551,5829,3811,31,117,76,227,125,41,210,122,36,U,NEW YORK CITY AREA,Y,N,150,5,2,WCMB,0,0,O,9,M,S,1,M,3,2,C,B,0,H,U,U,U,U,U,Y,180,1000169
62,796,50,0,110,11,11,0,0,-47,-3,2,0,4,0,45,0,294,0,217,0,244,0,0,0,0,125,0,227,0,282,73,42,19,22,385,0,437,0,75,0,72,0,6,294,244,0,3,0,49,2,2,N,A,N,15674,22650,2624,2563,22626,15658,53,471,326,812,569,62,593,416,57,T,CENTRAL/SOUTH TEXAS AREA,N,N,30,4,3,WC,1,1,O,13,S,M,3,M,7,2,C,A,0,G,U,U,U,Y,Y,Y,769,1000172
53,481,30,0,128,19,19,0,3,-84,-5,7,0,2,0,100,0,317,0,35,0,210,0,0,0,0,16,0,223,0,76,22,11,1,1,161,0,221,0,75,0,77,0,9,317,210,0,1,1,51,2,1,N,A,N,12670,25588,2742,2504,25371,12551,50,507,251,509,274,54,506,274,55,S,NEW ENGLAND AREA,Y,N,150,5,5,WCMB,0,0,O,5,S,M,3,M,7,2,C,A,0,R,U,U,U,U,U,Y,249,1000173
