datetime,temperature,var1,pressure,windspeed,electricity_consumption
2013-07-02 12:00:00,-7.1,-14.3,1016,25.005,204
2013-07-02 13:00:00,-3.6,-13.6,1001,2.415,237
2013-07-02 14:00:00,-5,-17.1,1005,4.305,210
2013-07-02 15:00:00,-5.7,-15,1011,5.195,234
2013-07-02 16:00:00,-3.6,-16.4,1010,5.835,243
2013-07-02 17:00:00,-5,-17.1,999,6.225,234
2013-07-02 18:00:00,-5.7,-17.1,1011,2.54,240
2013-07-02 19:00:00,-7.9,-13.6,996,1.64,276
2013-07-02 20:00:00,-7.1,-14.3,1007,1.765,264
2013-07-02 21:00:00,-7.9,-15,995,2.39,270
2013-07-02 22:00:00,-8.6,-13.6,1005,3.405,282
2013-07-02 23:00:00,-8.6,-15,995,4.545,258
2013-07-03 00:00:00,-7.9,-15.7,1011,2.14,249
2013-07-03 01:00:00,-8.6,-12.1,1002,3.28,270
2013-07-03 02:00:00,-10,-14.3,996,4.295,288
2013-07-03 03:00:00,-8.6,-12.9,1002,4.435,348
2013-07-03 04:00:00,-10.7,-13.6,1004,1.515,396
2013-07-03 05:00:00,-10.7,-15,1005,1.64,414
2013-07-03 06:00:00,-10.7,-12.1,995,2.765,381
2013-07-03 07:00:00,-9.3,-15,999,2.015,411
2013-07-03 08:00:00,-10,-15.7,999,4.555,381
2013-07-03 09:00:00,-10,-12.1,995,1.765,324
2013-07-03 10:00:00,-7.1,-15,994,2.14,327
2013-07-03 11:00:00,-5.7,-10.7,994,2.39,300
2013-07-03 12:00:00,-5,-12.9,1009,1.765,312
2013-07-03 13:00:00,-5.7,-12.9,1006,2.655,333
2013-07-03 14:00:00,-3.6,-12.9,1004,4.295,372
2013-07-03 15:00:00,-5,-14.3,995,3.29,417
2013-07-03 16:00:00,-5,-14.3,999,2.14,423
2013-07-03 17:00:00,-7.1,-14.3,989,2.965,414
2013-07-03 18:00:00,-7.1,-12.9,1008,2.015,396
2013-07-03 19:00:00,-7.1,-14.3,996,3.405,486
2013-07-03 20:00:00,-9.3,-15,1000,3.92,519
2013-07-03 21:00:00,-10,-15.7,1001,2.2,447
2013-07-03 22:00:00,-9.3,-13.6,998,2.59,474
2013-07-03 23:00:00,-10.7,-15,1009,2.79,459
2013-07-04 00:00:00,-12.1,-12.1,993,3.43,462
2013-07-04 01:00:00,-10.7,-12.9,998,1.45,504
2013-07-04 02:00:00,-11.4,-15.7,996,4.755,384
2013-07-04 03:00:00,-9.3,-15,994,6.045,342
2013-07-04 04:00:00,-12.9,-15.7,993,6.935,276
2013-07-04 05:00:00,-12.1,-12.9,997,8.975,261
2013-07-04 06:00:00,-12.1,-14.3,997,11.14,273
2013-07-04 07:00:00,-10.7,-14.3,1000,2.39,279
2013-07-04 08:00:00,-12.9,-15,1001,3.165,240
2013-07-04 09:00:00,-10,-12.1,996,2.915,273
2013-07-04 10:00:00,-7.9,-12.9,995,2.39,276
2013-07-04 11:00:00,-7.1,-12.9,998,2.53,312
2013-07-04 12:00:00,-6.4,-14.3,996,3.67,294
2013-07-04 13:00:00,-4.3,-11.4,1005,5.435,288
2013-07-04 14:00:00,-3.6,-12.9,993,5.005,300
2013-07-04 15:00:00,-2.9,-13.6,1000,10.815,303
2013-07-04 16:00:00,-3.6,-15.7,987,14.86,255
2013-07-04 17:00:00,-4.3,-15,1004,22.635,279
2013-07-04 18:00:00,-2.9,-15,986,29.935,270
2013-07-04 19:00:00,-4.3,-13.6,1002,36.96,252
2013-07-04 20:00:00,-6.4,-16.4,993,45.11,273
2013-07-04 21:00:00,-4.3,-15,994,52.66,231
2013-07-04 22:00:00,-6.4,-17.9,1000,59.435,246
2013-07-04 23:00:00,-5.7,-15,1008,68.235,231
2013-07-05 00:00:00,-8.6,-15.7,993,77.425,228
2013-07-05 01:00:00,-6.4,-16.4,997,86.255,210
2013-07-05 02:00:00,-7.9,-18.6,991,95.96,213
2013-07-05 03:00:00,-7.9,-17.9,991,105.9,213
2013-07-05 04:00:00,-7.9,-17.9,1009,114.09,231
2013-07-05 05:00:00,-8.6,-18.6,1001,124.795,225
2013-07-05 06:00:00,-10,-17.1,996,130.82,210
2013-07-05 07:00:00,-10.7,-19.3,1011,138.72,201
2013-07-05 08:00:00,-7.9,-17.9,1005,147.285,213
2013-07-05 09:00:00,-10,-17.1,1011,156.475,204
2013-07-05 10:00:00,-9.3,-19.3,996,165.79,204
2013-07-05 11:00:00,-7.1,-18.6,1004,174.355,204
2013-07-05 12:00:00,-7.9,-19.3,1003,184.185,198
2013-07-05 13:00:00,-6.4,-19.3,1003,193.5,210
2013-07-05 14:00:00,-5,-17.1,993,201.675,186
2013-07-05 15:00:00,-4.3,-15.7,993,210.615,192
2013-07-05 16:00:00,-6.4,-16.4,992,219.32,207
2013-07-05 17:00:00,-5.7,-17.1,1002,228.51,207
2013-07-05 18:00:00,-6.4,-17.9,1010,236.435,180
2013-07-05 19:00:00,-7.1,-15,1010,245.485,192
2013-07-05 20:00:00,-6.4,-17.9,1005,253.3,192
2013-07-05 21:00:00,-6.4,-17.1,1014,260.95,192
2013-07-05 22:00:00,-7.1,-17.9,1002,268.1,231
2013-07-05 23:00:00,-8.6,-18.6,1014,275.775,210
2013-07-06 00:00:00,-7.9,-17.1,1012,283.825,210
2013-07-06 01:00:00,-7.9,-18.6,1002,289.51,204
2013-07-06 02:00:00,-10,-19.3,1005,296.445,213
2013-07-06 03:00:00,-8.6,-16.4,1012,303.995,204
2013-07-06 04:00:00,-9.3,-17.1,1017,309.165,207
2013-07-06 05:00:00,-10.7,-18.6,1007,314.085,186
2013-07-06 06:00:00,-9.3,-17.9,1001,319.005,186
2013-07-06 07:00:00,-9.3,-18.6,1011,322.775,207
2013-07-06 08:00:00,-10,-19.3,1017,327.17,192
2013-07-06 09:00:00,-7.1,-17.1,1009,334.195,195
2013-07-06 10:00:00,-7.1,-17.1,1013,343.135,186
2013-07-06 11:00:00,-5.7,-17.1,1014,351.825,201
2013-07-06 12:00:00,-4.3,-17.1,1014,360.89,192
2013-07-06 13:00:00,-4.3,-15.7,1007,368.955,216
2013-07-06 14:00:00,-3.6,-15.7,1013,379.02,204
2013-07-06 15:00:00,-4.3,-17.1,1009,386.195,204
2013-07-06 16:00:00,-6.4,-17.1,999,393.345,186
2013-07-06 17:00:00,-4.3,-15.7,1006,401.37,222
2013-07-06 18:00:00,-5.7,-16.4,1013,407.645,195
2013-07-06 19:00:00,-5,-17.9,1011,414.455,201
2013-07-06 20:00:00,-6.4,-14.3,1013,419.375,213
2013-07-06 21:00:00,-9.3,-17.1,1002,423.42,198
2013-07-06 22:00:00,-7.9,-15,998,426.175,231
2013-07-06 23:00:00,-9.3,-15,1005,431.32,213
2013-07-07 00:00:00,-7.1,-17.1,1010,434.45,201
2013-07-07 01:00:00,-8.6,-15.7,1001,438.62,195
2013-07-07 02:00:00,-10,-17.9,1003,443.015,201
2013-07-07 03:00:00,-10,-15,1001,447.535,210
2013-07-07 04:00:00,-10,-15,998,5.395,204
2013-07-07 05:00:00,-12.9,-17.9,996,5.645,192
2013-07-07 06:00:00,-12.9,-18.6,1010,9.025,213
2013-07-07 07:00:00,-11.4,-18.6,1007,12.03,216
2013-07-07 08:00:00,-10,-18.6,1003,15.16,228
2013-07-07 09:00:00,-7.1,-15.7,996,19.055,225
2013-07-07 10:00:00,-7.9,-17.9,1000,23.725,234
2013-07-07 11:00:00,-5.7,-17.9,1008,26.605,231
2013-07-07 12:00:00,-5,-14.3,998,28.02,240
2013-07-07 13:00:00,-5,-15,996,2.515,261
2013-07-07 14:00:00,-3.6,-17.9,1000,3.68,258
2013-07-07 15:00:00,-2.1,-14.3,997,2.915,270
2013-07-07 16:00:00,-5,-17.9,995,6.17,270
2013-07-07 17:00:00,-5,-15.7,994,8.8,237
2013-07-07 18:00:00,-5,-16.4,992,13.695,270
2013-07-07 19:00:00,-5.7,-16.4,988,15.825,270
2013-07-07 20:00:00,-5,-13.6,1003,19.205,273
2013-07-07 21:00:00,-7.1,-17.1,986,20.22,294
2013-07-07 22:00:00,-7.9,-12.9,989,2.765,282
2013-07-07 23:00:00,-7.9,-15,997,3.28,306
2013-07-08 00:00:00,-9.3,-14.3,1001,2.015,330
2013-07-08 01:00:00,-7.9,-13.6,998,3.305,348
2013-07-08 02:00:00,-9.3,-14.3,1000,2.64,384
2013-07-08 03:00:00,-10,-12.1,997,2.64,372
2013-07-08 04:00:00,-8.6,-15.7,1001,3.555,378
2013-07-08 05:00:00,-7.9,-14.3,985,6.435,405
2013-07-08 06:00:00,-7.1,-14.3,987,10.19,342
2013-07-08 07:00:00,-6.4,-13.6,993,14.735,279
2013-07-08 08:00:00,-7.1,-15,994,20.03,228
2013-07-08 09:00:00,-7.1,-15,994,27.68,207
2013-07-08 10:00:00,-5,-14.3,1006,36.12,189
2013-07-08 11:00:00,-5,-14.3,1001,46.8,213
2013-07-08 12:00:00,-5,-15.7,1007,56.115,201
2013-07-08 13:00:00,-4.3,-16.4,994,64.555,210
2013-07-08 14:00:00,-4.3,-16.4,1003,75.26,210
2013-07-08 15:00:00,-5.7,-15.7,994,84.965,189
2013-07-08 16:00:00,-5,-17.1,994,94.795,213
2013-07-08 17:00:00,-5,-14.3,1004,102.97,210
2013-07-08 18:00:00,-5,-16.4,1007,112.3,222
2013-07-08 19:00:00,-5.7,-17.9,1003,122.255,204
2013-07-08 20:00:00,-5,-18.6,994,139.745,204
2013-07-08 21:00:00,-7.9,-17.9,1003,152.08,222
2013-07-08 22:00:00,-7.9,-19.3,1003,161.535,222
2013-07-08 23:00:00,-8.6,-20.7,1000,173.855,216
2013-07-09 00:00:00,-9.3,-17.1,998,184.91,201
2013-07-09 01:00:00,-9.3,-20,1011,198.37,195
2013-07-09 02:00:00,-10,-18.6,997,210.69,213
2013-07-09 03:00:00,-8.6,-18.6,1001,221.87,201
2013-07-09 04:00:00,-10.7,-20,1003,231.075,216
2013-07-09 05:00:00,-10,-20.7,1003,244.02,201
2013-07-09 06:00:00,-10.7,-17.9,998,251.695,195
2013-07-09 07:00:00,-10.7,-21.4,1012,257.38,201
2013-07-09 08:00:00,-10,-17.1,1004,262.025,195
2013-07-09 09:00:00,-8.6,-17.9,1003,269.95,210
2013-07-09 10:00:00,-7.1,-21.4,1004,278.265,198
2013-07-09 11:00:00,-6.4,-21.4,1008,286.955,198
2013-07-09 12:00:00,-7.1,-19.3,1018,296.395,222
2013-07-09 13:00:00,-5.7,-20.7,1010,305.71,222
2013-07-09 14:00:00,-5.7,-20,1008,313.9,189
2013-07-09 15:00:00,-6.4,-18.6,996,322.825,204
2013-07-09 16:00:00,-5.7,-18.6,1013,328.975,213
2013-07-09 17:00:00,-6.4,-16.4,1007,336.375,210
2013-07-09 18:00:00,-6.4,-20.7,1003,342.685,210
2013-07-09 19:00:00,-6.4,-17.1,1003,346.73,222
2013-07-09 20:00:00,-7.9,-20,1004,352.775,213
2013-07-09 21:00:00,-6.4,-19.3,999,356.17,222
2013-07-09 22:00:00,-8.6,-17.1,1011,359.55,195
2013-07-09 23:00:00,-8.6,-20,1003,363.32,192
2013-07-10 00:00:00,-7.9,-18.6,1002,370.095,210
2013-07-10 01:00:00,-7.9,-20,994,377.245,204
2013-07-10 02:00:00,-8.6,-16.4,1013,382.805,204
2013-07-10 03:00:00,-7.9,-16.4,1004,391.745,222
2013-07-10 04:00:00,-7.9,-20,1006,399.645,219
2013-07-10 05:00:00,-7.9,-17.9,1012,404.94,204
2013-07-10 06:00:00,-11.4,-19.3,997,2.14,222
2013-07-10 07:00:00,-11.4,-20.7,1012,4.505,195
2013-07-10 08:00:00,-12.1,-20,1009,5.645,201
2013-07-10 09:00:00,-10,-17.1,1000,9.04,198
2013-07-10 10:00:00,-7.9,-17.1,1003,6.67,189
2013-07-10 11:00:00,-5.7,-17.9,997,5.795,222
2013-07-10 12:00:00,-6.4,-17.1,997,9.175,210
2013-07-10 13:00:00,-3.6,-15.7,997,14.735,216
2013-07-10 14:00:00,-3.6,-20,999,22.635,207
2013-07-10 15:00:00,-5,-20.7,997,30.035,198
2013-07-10 16:00:00,-2.9,-17.1,990,33.83,234
2013-07-10 17:00:00,-4.3,-15.7,989,5.27,240
2013-07-10 18:00:00,-7.1,-15.7,987,4.505,261
2013-07-10 19:00:00,-7.1,-16.4,985,8.01,252
2013-07-10 20:00:00,-6.4,-17.9,1001,12.43,285
2013-07-10 21:00:00,-6.4,-15.7,991,15.825,327
2013-07-10 22:00:00,-6.4,-19.3,983,19.83,315
2013-07-10 23:00:00,-9.3,-17.1,993,2.265,315
2013-07-11 00:00:00,-10,-16.4,997,3.28,309
2013-07-11 01:00:00,-4.3,-15.7,984,5.545,264
2013-07-11 02:00:00,-7.1,-16.4,992,8.335,216
2013-07-11 03:00:00,-10,-16.4,992,9.5,234
2013-07-11 04:00:00,-8.6,-18.6,991,2.79,213
2013-07-11 05:00:00,-7.1,-18.6,984,8.675,198
2013-07-11 06:00:00,-7.9,-17.9,1000,14.735,210
2013-07-11 07:00:00,-7.9,-19.3,983,20.545,186
2013-07-11 08:00:00,-8.6,-17.9,999,26.605,189
2013-07-11 09:00:00,-7.9,-17.1,998,34.28,204
2013-07-11 10:00:00,-5.7,-17.9,994,42.455,204
2013-07-11 11:00:00,-5,-15.7,997,50.755,216
2013-07-11 12:00:00,-4.3,-15.7,1004,58.405,201
2013-07-11 13:00:00,-3.6,-20,997,65.705,210
2013-07-11 14:00:00,-5.7,-17.9,995,72.98,195
2013-07-11 15:00:00,-4.3,-17.1,985,81.67,204
2013-07-11 16:00:00,-5.7,-19.3,1000,90.47,204
2013-07-11 17:00:00,-6.4,-17.1,985,96.405,198
2013-07-11 18:00:00,-6.4,-20.7,1001,101.325,216
2013-07-11 19:00:00,-6.4,-18.6,984,107.975,219
2013-07-11 20:00:00,-7.1,-17.9,1004,2.015,192
2013-07-11 21:00:00,-7.9,-20.7,990,4.77,201
2013-07-11 22:00:00,-7.9,-20,996,2.265,246
2013-07-11 23:00:00,-9.3,-20.7,990,2.905,246
2013-07-12 00:00:00,-9.3,-19.3,1001,2.54,249
2013-07-12 01:00:00,-8.6,-20,1002,5.205,204
2013-07-12 02:00:00,-10.7,-18.6,985,6.37,228
2013-07-12 03:00:00,-10.7,-17.1,985,2.265,228
2013-07-12 04:00:00,-10.7,-16.4,1003,4.88,222
2013-07-12 05:00:00,-10,-17.1,987,5.545,231
2013-07-12 06:00:00,-14.3,-20.7,999,9.425,258
2013-07-12 07:00:00,-13.6,-17.1,994,9.565,243
2013-07-12 08:00:00,-12.9,-17.9,997,2.64,252
2013-07-12 09:00:00,-10,-15.7,996,2.54,288
2013-07-12 10:00:00,-7.9,-17.9,1001,4.455,276
2013-07-12 11:00:00,-7.9,-15.7,1002,6.245,294
2013-07-12 12:00:00,-3.6,-15.7,996,2.39,276
2013-07-12 13:00:00,-2.9,-18.6,984,2.53,264
2013-07-12 14:00:00,-3.6,-18.6,1001,4.895,294
2013-07-12 15:00:00,-2.9,-17.1,993,8.15,267
2013-07-12 16:00:00,-3.6,-17.9,995,11.405,306
2013-07-12 17:00:00,-6.4,-16.4,1002,12.945,228
2013-07-12 18:00:00,-5,-16.4,982,16.075,267
2013-07-12 19:00:00,-8.6,-15.7,988,16.965,258
2013-07-12 20:00:00,-7.9,-17.9,983,2.015,258
2013-07-12 21:00:00,-9.3,-18.6,997,2.64,294
2013-07-12 22:00:00,-8.6,-14.3,983,2.14,321
2013-07-12 23:00:00,-11.4,-18.6,994,2.905,348
2013-07-13 00:00:00,-10.7,-15.7,994,2.015,360
2013-07-13 01:00:00,-10.7,-19.3,998,3.54,498
2013-07-13 02:00:00,-11.4,-19.3,984,3.29,468
2013-07-13 03:00:00,-12.1,-17.9,986,6.42,432
2013-07-13 04:00:00,-10.7,-16.4,991,7.71,369
2013-07-13 05:00:00,-11.4,-15,985,9.225,342
2013-07-13 06:00:00,-10.7,-15,988,10.89,366
2013-07-13 07:00:00,-12.1,-15.7,997,13.27,354
2013-07-13 08:00:00,-10.7,-16.4,986,1.89,372
2013-07-13 09:00:00,-10,-16.4,994,3.29,366
2013-07-13 10:00:00,-5.7,-16.4,984,1.515,327
2013-07-13 11:00:00,-5.7,-15.7,998,3.53,333
2013-07-13 12:00:00,-2.9,-18.6,998,3.795,309
2013-07-13 13:00:00,-2.1,-18.6,985,6.685,264
2013-07-13 14:00:00,-0.7,-19.3,986,17.265,255
2013-07-13 15:00:00,-1.4,-20,994,25.705,264
2013-07-13 16:00:00,-1.4,-18.6,989,32.98,282
2013-07-13 17:00:00,-3.6,-17.9,984,5.02,258
2013-07-13 18:00:00,-3.6,-15.7,998,5.77,243
2013-07-13 19:00:00,-4.3,-17.9,990,7.06,270
2013-07-13 20:00:00,-5.7,-15,989,1.89,303
2013-07-13 21:00:00,-7.9,-15.7,988,5.77,318
2013-07-13 22:00:00,-7.1,-15.7,991,2.665,342
2013-07-13 23:00:00,-5.7,-16.4,995,4.38,282
2013-07-14 00:00:00,-5,-17.1,1005,9.175,225
2013-07-14 01:00:00,-6.4,-17.9,1000,15.235,213
2013-07-14 02:00:00,-5.7,-15,989,24.425,225
2013-07-14 03:00:00,-6.4,-15,1000,30.7,219
2013-07-14 04:00:00,-7.9,-18.6,1004,39.375,207
2013-07-14 05:00:00,-8.6,-17.9,1008,46.9,201
2013-07-14 06:00:00,-7.9,-17.9,1007,51.835,195
2013-07-14 07:00:00,-8.6,-17.1,1006,57.395,192
2013-07-14 08:00:00,-8.6,-15.7,1001,65.795,213
2013-07-14 09:00:00,-8.6,-19.3,1007,69.965,225
2013-07-14 10:00:00,-5.7,-19.3,997,75.135,198
2013-07-14 11:00:00,-6.4,-18.6,1014,82.56,225
2013-07-14 12:00:00,-6.4,-17.1,1006,89.96,207
2013-07-14 13:00:00,-4.3,-16.4,1005,96.52,210
2013-07-14 14:00:00,-6.4,-16.4,1002,100.415,213
2013-07-14 15:00:00,-4.3,-17.1,1008,107.815,213
2013-07-14 16:00:00,-4.3,-20,1005,116.755,195
2013-07-14 17:00:00,-5.7,-19.3,1013,123.28,222
2013-07-14 18:00:00,-5.7,-20,1014,130.18,195
2013-07-14 19:00:00,-8.6,-22.1,998,139.37,207
2013-07-14 20:00:00,-10,-19.3,1016,150.55,204
2013-07-14 21:00:00,-10.7,-22.9,1012,159.365,186
2013-07-14 22:00:00,-11.4,-23.6,1002,168.805,204
2013-07-14 23:00:00,-10,-23.6,1019,175.58,201
2013-07-15 00:00:00,-10,-22.9,1018,183.38,189
2013-07-15 01:00:00,-10.7,-22.1,1007,191.43,213
2013-07-15 02:00:00,-10.7,-22.1,1010,205.265,210
2013-07-15 03:00:00,-11.4,-23.6,1009,215.695,192
2013-07-15 04:00:00,-11.4,-24.3,1011,226.15,183
2013-07-15 05:00:00,-12.1,-20.7,1001,234.59,195
2013-07-15 06:00:00,-10.7,-20.7,1005,241.115,204
2013-07-15 07:00:00,-10.7,-22.1,1002,249.165,207
2013-07-15 08:00:00,-11.4,-24.3,1021,258.215,207
2013-07-15 09:00:00,-10,-21.4,1008,264.99,210
2013-07-15 10:00:00,-9.3,-20,1006,272.915,195
2013-07-15 11:00:00,-9.3,-23.6,1012,281.465,204
2013-07-15 12:00:00,-8.6,-22.1,1020,289.515,210
2013-07-15 13:00:00,-7.9,-21.4,1011,298.455,192
2013-07-15 14:00:00,-7.1,-22.1,1003,308.285,222
2013-07-15 15:00:00,-6.4,-19.3,1010,315.585,207
2013-07-15 16:00:00,-7.1,-19.3,1016,324.01,195
2013-07-15 17:00:00,-7.1,-20.7,1017,331.16,210
2013-07-15 18:00:00,-8.6,-19.3,1011,336.47,216
2013-07-15 19:00:00,-8.6,-20.7,1010,340.725,216
2013-07-15 20:00:00,-9.3,-20.7,1004,1.64,219
2013-07-15 21:00:00,-9.3,-19.3,1003,2.54,195
2013-07-15 22:00:00,-12.1,-22.9,1014,4.255,210
2013-07-15 23:00:00,-10.7,-19.3,1017,3.755,243
2013-07-16 00:00:00,-12.9,-20.7,1014,8.01,219
2013-07-16 01:00:00,-10,-19.3,1007,10.265,222
2013-07-16 02:00:00,-12.9,-20,1007,3.665,210
2013-07-16 03:00:00,-12.9,-21.4,1006,3.88,210
2013-07-16 04:00:00,-10.7,-20,1002,1.89,198
2013-07-16 05:00:00,-13.6,-18.6,1006,3.165,204
2013-07-16 06:00:00,-12.9,-22.1,1003,1.765,207
2013-07-16 07:00:00,-13.6,-22.1,1007,3.305,198
2013-07-16 08:00:00,-12.1,-22.1,1007,5.72,189
2013-07-16 09:00:00,-11.4,-20,1005,8.85,210
2013-07-16 10:00:00,-7.9,-19.3,1005,5.52,219
2013-07-16 11:00:00,-6.4,-20,1005,5.52,213
2013-07-16 12:00:00,-5.7,-17.1,1016,6.435,234
2013-07-16 13:00:00,-5,-17.9,1009,1.765,243
2013-07-16 14:00:00,-5.7,-19.3,1010,3.415,228
2013-07-16 15:00:00,-4.3,-17.1,999,3.665,216
2013-07-16 16:00:00,-7.1,-18.6,996,2.415,219
2013-07-16 17:00:00,-6.4,-17.1,1012,2.665,249
2013-07-16 18:00:00,-7.9,-16.4,1013,4.43,252
2013-07-16 19:00:00,-7.9,-15.7,1005,2.14,288
2013-07-16 20:00:00,-10,-17.1,1000,2.78,255
2013-07-16 21:00:00,-8.6,-17.9,1013,3.73,273
2013-07-16 22:00:00,-9.3,-17.1,1010,2.64,273
2013-07-16 23:00:00,-13.6,-19.3,998,5.645,264
2013-07-17 00:00:00,-10.7,-17.1,1004,6.935,324
2013-07-17 01:00:00,-10,-16.4,1011,9.565,327
2013-07-17 02:00:00,-12.1,-20.7,1004,13.71,348
2013-07-17 03:00:00,-11.4,-20.7,1001,18.855,246
2013-07-17 04:00:00,-11.4,-17.1,1004,22.875,240
2013-07-17 05:00:00,-12.1,-20.7,1003,25.63,237
2013-07-17 06:00:00,-10.7,-20.7,1010,29.01,213
2013-07-17 07:00:00,-12.9,-18.6,1011,32.015,240
2013-07-17 08:00:00,-12.1,-20,997,35.27,231
2013-07-17 09:00:00,-9.3,-16.4,1016,38.79,222
2013-07-17 10:00:00,-8.6,-16.4,1016,42.56,234
2013-07-17 11:00:00,-7.1,-17.9,1014,50.46,210
2013-07-17 12:00:00,-6.4,-17.9,1002,58.01,189
2013-07-17 13:00:00,-5,-19.3,1003,65.285,225
2013-07-17 14:00:00,-5.7,-17.9,1013,74.225,222
2013-07-17 15:00:00,-4.3,-18.6,997,82.775,213
2013-07-17 16:00:00,-5,-17.1,1013,89.7,213
2013-07-17 17:00:00,-5,-15.7,997,96.725,216
2013-07-17 18:00:00,-7.9,-18.6,1004,105.9,198
2013-07-17 19:00:00,-5.7,-19.3,998,113.05,207
2013-07-17 20:00:00,-7.1,-17.1,1012,117.595,222
2013-07-17 21:00:00,-7.9,-17.1,998,121.115,201
2013-07-17 22:00:00,-7.9,-19.3,1015,126.8,216
2013-07-17 23:00:00,-10,-19.3,1011,131.72,210
2013-07-18 00:00:00,-12.1,-17.1,1002,3.415,213
2013-07-18 01:00:00,-10.7,-19.3,1004,4.895,186
2013-07-18 02:00:00,-10,-17.9,1001,5.02,204
2013-07-18 03:00:00,-10,-20.7,1003,5.27,189
2013-07-18 04:00:00,-12.1,-19.3,996,10.19,204
2013-07-18 05:00:00,-11.4,-20.7,996,15.485,204
2013-07-18 06:00:00,-15,-20.7,995,18.365,207
2013-07-18 07:00:00,-12.1,-20.7,995,22.76,204
2013-07-18 08:00:00,-14.3,-19.3,1004,25.015,198
2013-07-18 09:00:00,-10.7,-21.4,1015,29.16,237
2013-07-18 10:00:00,-10,-18.6,1010,31.915,237
2013-07-18 11:00:00,-7.1,-20.7,996,35.545,228
2013-07-18 12:00:00,-7.9,-17.1,1004,43.595,228
2013-07-18 13:00:00,-6.4,-18.6,1009,49.655,213
2013-07-18 14:00:00,-7.1,-16.4,1001,54.2,192
2013-07-18 15:00:00,-5,-20.7,1005,62.225,192
2013-07-18 16:00:00,-6.4,-17.9,1003,69.25,204
2013-07-18 17:00:00,-6.4,-19.3,995,74.06,222
2013-07-18 18:00:00,-7.9,-20,995,80.495,189
2013-07-18 19:00:00,-5.7,-20,997,85.805,201
2013-07-18 20:00:00,-7.9,-17.9,995,90.325,201
2013-07-18 21:00:00,-9.3,-18.6,1006,93.595,228
2013-07-18 22:00:00,-9.3,-20,1011,95.385,198
2013-07-18 23:00:00,-12.1,-17.9,1011,99.405,198
2013-07-19 00:00:00,-9.3,-20.7,998,103.785,201
2013-07-19 01:00:00,-11.4,-20,1009,104.7,231
2013-07-19 02:00:00,-12.9,-18.6,1010,108.08,216
2013-07-19 03:00:00,-12.1,-17.9,996,112.5,201
2013-07-19 04:00:00,-14.3,-21.4,1001,116.255,216
2013-07-19 05:00:00,-11.4,-19.3,1011,117.545,204
2013-07-19 06:00:00,-10.7,-17.9,994,120.8,210
2013-07-19 07:00:00,-13.6,-20,995,3.54,207
2013-07-19 08:00:00,-12.9,-19.3,994,3.415,213
2013-07-19 09:00:00,-10,-18.6,1002,5.67,204
2013-07-19 10:00:00,-7.9,-19.3,1005,9.565,198
2013-07-19 11:00:00,-7.1,-18.6,1000,13.96,204
2013-07-19 12:00:00,-5.7,-17.1,998,20.27,195
2013-07-19 13:00:00,-5,-19.3,992,28.335,198
2013-07-19 14:00:00,-3.6,-18.6,1005,35.27,204
2013-07-19 15:00:00,-5,-19.3,1010,41.795,213
2013-07-19 16:00:00,-5,-17.9,994,48.23,201
